"Source #","Source Name","Source Alias","Source Type","Source Department","Canonical Department","Existing LIS Match","Match Type","Canonical Proposed Identity","Workflow","Conflict","Required Next Action"
"222","Urine for Chyle","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for Chyle","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"223","Semen Examination","","Multi parameter nested","Clinical Pathology","Clinical Pathology","","SpecialistWorkflowRequired","Semen Analysis structured service","StructuredClinicalPathology","","create/complete dedicated StructuredClinicalPathology workflow before enabling reporting"
"224","Urine Sugar Fasting","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Sugar Fasting","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"225","Stool Routine Examination","","Multi parameter nested","Clinical Pathology","Clinical Pathology","","SpecialistWorkflowRequired","Stool R/E structured service","StructuredClinicalPathology","","create/complete dedicated StructuredClinicalPathology workflow before enabling reporting"
"226","Urine Sugar PP","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Sugar PP","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"227","Urine Sugar Random","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Sugar Random","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"228","Urine Routine Examination","","Multi parameter nested","Clinical Pathology","Clinical Pathology","","SpecialistWorkflowRequired","Urine R/E structured service","StructuredClinicalPathology","","create/complete dedicated StructuredClinicalPathology workflow before enabling reporting"
"229","Fluid Examination","","Multi parameter nested","Clinical Pathology","Clinical Pathology","","SpecialistWorkflowRequired","Fluid Examination structured service","StructuredClinicalPathology","","create/complete dedicated StructuredClinicalPathology workflow before enabling reporting"
"230","Urine Cotinine","UCT","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Cotinine","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"231","Urine Cortisol","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Cortisol","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"232","Microalbumin, Urine 24 hours","","Multi parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Microalbumin, Urine 24 hours","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"233","Urine Bile Pigment","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Bile Pigment","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"234","Urine Bile Salt","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Bile Salt","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"235","FNAC (Fine Needle Aspiration)","","Document","Cytology","Cytology","","SpecialistWorkflowRequired","FNAC cytology case","CytologyCase","","create/complete dedicated CytologyCase workflow before enabling reporting"
"236","PAP Smear","","Document","Cytology","Cytology","","SpecialistWorkflowRequired","PAP Smear cytology case","CytologyCase","","create/complete dedicated CytologyCase workflow before enabling reporting"
"237","Skin test for Leprosy","","Single parameter","Cytology","Cytology","","MissingDraftCandidate","Skin test for Leprosy","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"238","Gram's Stain","","Multi parameter","Microbiology","Microbiology","","SpecialistWorkflowRequired","Gram's Stain","StructuredMicroscopy","","create/complete dedicated StructuredMicroscopy workflow before enabling reporting"
"239","Acid - Fast Bacilli","AFB","Multi parameter","Microbiology","Microbiology","","SpecialistWorkflowRequired","Acid - Fast Bacilli","StructuredMicroscopy","","create/complete dedicated StructuredMicroscopy workflow before enabling reporting"
"240","Skin smear for AFB","","Single parameter","Microbiology","Microbiology","","SpecialistWorkflowRequired","Skin smear for AFB","StructuredMicroscopy","","create/complete dedicated StructuredMicroscopy workflow before enabling reporting"
"241","Fungal scraping smear","","Single parameter","Microbiology","Microbiology","","SpecialistWorkflowRequired","Fungal scraping smear","StructuredMicroscopy","","create/complete dedicated StructuredMicroscopy workflow before enabling reporting"
"242","Culture and Sensitivity","","Document","Microbiology","Microbiology","","SpecialistWorkflowRequired","Culture & Sensitivity microbiology case","MicrobiologyCulture","","create/complete dedicated MicrobiologyCulture workflow before enabling reporting"
"243","Pus Culture and Sensitivity","","Document","Microbiology","Microbiology","","SpecialistWorkflowRequired","Pus Culture & Sensitivity microbiology case","MicrobiologyCulture","","create/complete dedicated MicrobiologyCulture workflow before enabling reporting"
"244","Serum Triiodothyronine, T3","T3","Single parameter","Endocrinology","Endocrinology / Hormone","T3 — Triiodothyronine Total (T3) [Active/Routine; clinical=false]","ExactExisting","T3 — Triiodothyronine Total (T3)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"245","Serum thyroxine, T4","T4","Single parameter","Endocrinology","Endocrinology / Hormone","T4 — Thyroxine Total (T4) [Active/Routine; clinical=false]","ExactExisting","T4 — Thyroxine Total (T4)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"246","Thyroid-Stimulating Hormone, TSH","TSH","Single parameter","Endocrinology","Endocrinology / Hormone","TSH — Thyroid Stimulating Hormone (TSH, Ultrasensitive) [Active/Routine; clinical=false]","AliasExisting","TSH — Thyroid Stimulating Hormone (TSH, Ultrasensitive)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"247","Free Triiodothyronine l, FT3","FT3","Single parameter","Endocrinology","Endocrinology / Hormone","FT3 — Free Triiodothyronine (FT3) [Active/Routine; clinical=false]","AliasExisting","FT3 — Free Triiodothyronine (FT3)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"248","Free Thyroxine, FT4","FT4","Single parameter","Endocrinology","Endocrinology / Hormone","FT4 — Free Thyroxine (FT4) [Active/Routine; clinical=false]","ExactExisting","FT4 — Free Thyroxine (FT4)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"249","Alfa Fetoprotein, AFP","AFP","Single parameter","Endocrinology","Endocrinology / Hormone","AFP — Alfa Feto Protein [Active/Routine; clinical=true]","AliasExisting","AFP — Alfa Feto Protein","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"250","Prolactin","PRL","Single parameter","Endocrinology","Endocrinology / Hormone","","MissingDraftCandidate","Prolactin","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"251","Luteinising Hormone, LH","LH","Single parameter","Endocrinology","Endocrinology / Hormone","","MissingDraftCandidate","Luteinising Hormone, LH","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"252","Follicle Stimulating Hormone, FSH","FSH","Single parameter","Endocrinology","Endocrinology / Hormone","","MissingDraftCandidate","Follicle Stimulating Hormone, FSH","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"253","Folic Acid","","Single parameter","Endocrinology","Endocrinology / Hormone","","MissingDraftCandidate","Folic Acid","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"254","Parathyroid Hormone (PTH)","","Single parameter","Endocrinology","Endocrinology / Hormone","","MissingDraftCandidate","Parathyroid Hormone (PTH)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"255","CEA – Carcinoembryonic Antigen","","Single parameter","Others","Serology / Tumor Markers","","MissingDraftCandidate","CEA – Carcinoembryonic Antigen","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"256","Mantoux test","","Document","Miscellaneous","Miscellaneous","","MissingDraftCandidate","Mantoux test","Document/StructuredNarrativeReview","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
